Geographical Area, Total Population Change - Decade, Natural Increase - Decade, Births - Decade, Deaths - Decade, Total - Decade, International - Decade, Domestic - Decade, Total Population Change - Annual, Natural Increase - Annual, Births - Annual, Deaths - Annual, Total - Annual, International - Annual, Domestic - Annual
".Sonora, CA Micro Area",-890,"-1,651","4,283","5,934",784,321,463,91,-155,466,621,252,20,232
".Spearfish, SD Micro Area","1,754",36,"2,158","2,122","1,697",299,"1,398",117,-9,224,233,127,17,110
".Spencer, IA Micro Area",-651,91,"1,830","1,739",-737,39,-776,-90,38,201,163,-129,4,-133
".Spirit Lake, IA Micro Area",591,-369,"1,473","1,842",974,59,915,137,-31,147,178,168,5,163
".Starkville, MS Micro Area","1,355","2,179","6,298","4,119",-861,861,"-1,722",239,143,660,517,96,111,-15
".Statesboro, GA Micro Area","9,365","3,270","8,052","4,782","5,980","1,037","4,943","2,366",329,890,561,"2,019",84,"1,935"
".Steamboat Springs, CO Micro Area","2,132","1,022","2,016",994,"1,087",480,607,131,74,207,133,57,43,14
".Stephenville, TX Micro Area","4,803","1,459","4,475","3,016","3,307",92,"3,215",475,145,480,335,329,-7,336
".Sterling, CO Micro Area",-300,209,"2,109","1,900",-518,57,-575,141,22,217,195,121,6,115
".Sterling, IL Micro Area","-3,326",-196,"5,861","6,057","-3,128",-2,"-3,126",-378,-39,610,649,-337,-7,-330
".Stevens Point, WI Micro Area",751,"1,537","6,382","4,845",-749,822,"-1,571",-78,155,658,503,-233,50,-283
".Stillwater, OK Micro Area","4,437","3,002","8,191","5,189","1,453","4,134","-2,681",-388,223,815,592,-618,396,"-1,014"
".Storm Lake, IA Micro Area",-645,"1,190","2,886","1,696","-1,846",721,"-2,567",-206,138,286,148,-345,40,-385
".Sturgis, MI Micro Area",-339,"1,502","7,324","5,822","-1,821",320,"-2,141",52,144,726,582,-91,22,-113
".Sulphur Springs, TX Micro Area","1,921",640,"4,239","3,599","1,290",-70,"1,360",346,58,444,386,287,-9,296
".Summerville, GA Micro Area","-1,233",-263,"2,673","2,936",-977,50,"-1,027",7,-11,299,310,18,5,13
".Sunbury, PA Micro Area","-3,633","-2,066","8,727","10,793","-1,497",220,"-1,717",-237,-205,888,"1,093",-26,-8,-18
".Susanville, CA Micro Area","-4,322",638,"2,774","2,136","-5,081",115,"-5,196",-45,79,281,202,-126,7,-133
".Sweetwater, TX Micro Area",-499,216,"1,853","1,637",-719,124,-843,-85,14,187,173,-100,15,-115
".Tahlequah, OK Micro Area","1,665",803,"5,469","4,666",884,343,541,50,22,556,534,31,42,-11
".Talladega-Sylacauga, AL Micro Area","-2,375","-1,177","7,978","9,155","-1,152",321,"-1,473",-159,-200,844,"1,044",46,32,14
".Taos, NM Micro Area",-210,18,"2,763","2,745",-205,175,-380,24,-46,271,317,72,-14,86
".Taylorville, IL Micro Area","-2,491",-634,"3,185","3,819","-1,857",31,"-1,888",-349,-72,324,396,-276,-1,-275
".The Dalles, OR Micro Area","1,471",-56,"2,829","2,885","1,532",69,"1,463",250,0,299,299,251,3,248
".Thomaston, GA Micro Area",-829,-411,"2,990","3,401",-414,-18,-396,135,-94,306,400,234,-4,238
".Thomasville, GA Micro Area",-272,567,"5,253","4,686",-809,190,-999,117,15,531,516,105,18,87
".Tiffin, OH Micro Area","-1,564",-46,"5,416","5,462","-1,513",466,"-1,979",-16,28,589,561,-42,34,-76
".Tifton, GA Micro Area",508,"1,517","5,219","3,702","-1,056",21,"-1,077",102,135,554,419,-34,-4,-30
".Toccoa, GA Micro Area",-228,-357,"2,846","3,203",142,3,139,-82,-39,317,356,-42,0,-42
".Torrington, CT Micro Area","-9,547","-3,159","13,334","16,493","-6,375","2,276","-8,651",-762,-456,"1,382","1,838",-299,263,-562
".Traverse City, MI Micro Area","7,286",-403,"13,131","13,534","7,712",306,"7,406",842,-73,"1,402","1,475",918,15,903
".Troy, AL Micro Area",213,497,"3,463","2,966",-313,947,"-1,260",-128,6,345,339,-131,79,-210
".Truckee-Grass Valley, CA Micro Area","1,008","-1,690","7,428","9,118","2,792",101,"2,691",247,-208,778,986,462,-3,465
".Tullahoma-Manchester, TN Micro Area","5,007",-900,"10,386","11,286","5,949",242,"5,707",947,8,"1,172","1,164",941,36,905
".Tupelo, MS Micro Area","4,595","3,725","20,110","16,385",940,339,601,420,320,"2,101","1,781",109,50,59
".Ukiah, CA Micro Area","-1,101","1,685","9,521","7,836","-2,718",-153,"-2,565",-652,73,933,860,-720,-60,-660
".Union, SC Micro Area","-1,657",-673,"2,858","3,531",-978,-16,-962,-8,-84,294,378,79,-1,80
".Union City, TN Micro Area","-1,738",-384,"3,195","3,579","-1,353",9,"-1,362",-205,-89,328,417,-116,5,-121
".Urbana, OH Micro Area","-1,216",98,"3,752","3,654","-1,312",89,"-1,401",100,14,412,398,90,3,87
".Uvalde, TX Micro Area",336,"1,413","3,701","2,288","-1,054",146,"-1,200",-46,125,378,253,-171,-36,-135
".Van Wert, OH Micro Area",-484,185,"3,099","2,914",-661,72,-733,22,44,339,295,-21,-1,-20
".Vermillion, SD Micro Area",204,443,"1,355",912,-247,200,-447,87,51,131,80,37,-1,38
".Vernal, UT Micro Area","3,146","3,880","5,965","2,085",-822,151,-973,329,305,536,231,25,15,10
".Vernon, TX Micro Area",-766,81,"1,515","1,434",-858,78,-936,-8,11,154,143,-18,2,-20
".Vicksburg, MS Micro Area","-3,389",835,"5,682","4,847","-4,224",152,"-4,376",-712,58,576,518,-770,16,-786
".Vidalia, GA Micro Area",-349,928,"4,530","3,602","-1,270",-18,"-1,252",-68,80,474,394,-146,-14,-132
".Vincennes, IN Micro Area","-1,846",94,"4,143","4,049","-1,941",116,"-2,057",-2,-4,390,394,3,20,-17
".Vineyard Haven, MA Micro Area",797,184,"1,510","1,326",615,2,613,3,25,171,146,-20,-1,-19
".Wabash, IN Micro Area","-1,892",-796,"3,112","3,908","-1,092",66,"-1,158",-202,-100,306,406,-103,10,-113
".Wahpeton, ND-MN Micro Area",-513,362,"2,353","1,991",-869,-63,-806,-89,54,263,209,-144,-12,-132
".Wapakoneta, OH Micro Area",-261,651,"5,111","4,460",-899,262,"-1,161",-80,66,559,493,-147,18,-165
".Warren, PA Micro Area","-2,620",-982,"3,714","4,696","-1,618",87,"-1,705",-360,-114,417,531,-245,5,-250
".Warrensburg, MO Micro Area","1,497","2,915","6,608","3,693","-1,425","1,029","-2,454",441,308,686,378,135,41,94
".Warsaw, IN Micro Area","2,101","3,086","9,530","6,444",-924,502,"-1,426",40,305,"1,029",724,-261,85,-346
".Washington, IN Micro Area","1,697","1,875","4,951","3,076",-163,160,-323,73,212,539,327,-142,21,-163
".Washington, NC Micro Area",-790,"-1,057","4,392","5,449",310,15,295,-62,-189,439,628,131,3,128
".Washington Court House, OH Micro Area",-509,-98,"3,193","3,291",-391,96,-487,-128,21,330,309,-147,4,-151
".Watertown, SD Micro Area","1,049","1,622","4,459","2,837",-559,220,-779,70,145,435,290,-73,4,-77
".Watertown-Fort Atkinson, WI Micro Area","1,081","1,945","8,070","6,125",-810,335,"-1,145",-280,141,835,694,-422,28,-450
".Wauchula, FL Micro Area",-800,"1,603","3,529","1,926","-2,431",313,"-2,744",-231,146,339,193,-378,-2,-376
".Waycross, GA Micro Area",141,725,"6,764","6,039",-582,-12,-570,224,58,739,681,166,-14,180
".Weatherford, OK Micro Area","1,463","1,378","4,079","2,701",56,540,-484,8,121,398,277,-113,55,-168
".West Plains, MO Micro Area",-269,81,"4,732","4,651",-320,101,-421,-9,-4,504,508,-2,9,-11
".West Point, MS Micro Area","-1,332",-83,"2,083","2,166","-1,246",36,"-1,282",-88,-21,209,230,-66,4,-70
".Whitewater, WI Micro Area","1,638",843,"9,303","8,460",857,57,800,318,-23,924,947,343,-23,366
".Williston, ND Micro Area","15,190","3,400","5,527","2,127","11,403",170,"11,233","2,120",491,725,234,"1,624",23,"1,601"
".Willmar, MN Micro Area",960,"1,809","5,364","3,555",-844,"1,690","-2,534",289,198,568,370,93,193,-100
".Wilmington, OH Micro Area",-80,542,"4,617","4,075",-610,115,-725,-117,12,470,458,-126,3,-129
".Wilson, NC Micro Area",577,974,"8,873","7,899",-334,689,"-1,023",409,0,944,944,413,77,336
".Winfield, KS Micro Area","-1,401",91,"4,055","3,964","-1,494",337,"-1,831",-241,-20,393,413,-221,19,-240
".Winnemucca, NV Micro Area",310,"1,160","2,304","1,144",-879,2,-881,53,109,221,112,-56,-1,-55
".Winona, MN Micro Area",-977,519,"4,348","3,829","-1,502",521,"-2,023",-251,16,456,440,-267,25,-292
".Wisconsin Rapids-Marshfield, WI Micro Area","-1,751",485,"7,627","7,142","-2,226",220,"-2,446",45,74,798,724,-25,17,-42
".Woodward, OK Micro Area",-165,852,"3,117","2,265","-1,056",295,"-1,351",-181,17,290,273,-199,29,-228
".Wooster, OH Micro Area","1,194","3,917","14,085","10,168","-2,673",877,"-3,550",-80,296,"1,446","1,150",-377,47,-424
".Worthington, MN Micro Area",251,"1,745","3,415","1,670","-1,524","1,377","-2,901",-115,196,382,186,-312,87,-399
".Yankton, SD Micro Area",376,404,"2,489","2,085",-10,57,-67,55,54,261,207,3,1,2
".Zanesville, OH Micro Area",129,515,"9,519","9,004",-326,541,-867,84,31,"1,002",971,58,43,15
".Zapata, TX Micro Area",161,"1,654","2,501",847,"-1,501",15,"-1,516",30,104,214,110,-75,-9,-66
1 Total population change includes a residual. This residual represents the change in population that cannot be attributed to any specific demographic component. See Population Estimates Terms and Definitions at http://www.census.gov/programs-surveys/popest/about/glossary.html.,,,,,,,,,,,,,,
"2 Net international migration for the United States includes the international migration of both native and foreign-born populations.  Specifically, it includes: (a) the net international migration of the foreign born, (b) the net migration between the United States and Puerto Rico, (c) the net migration of natives to and from the United States, and (d) the net movement of the Armed Forces population between the United States and overseas.  Net international migration for Puerto Rico includes the migration of native and foreign-born populations between the United States and Puerto Rico.",,,,,,,,,,,,,,
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates series except statistical area delineations are as of January 1, 2019. The Office of Management and Budget's statistical area delineations for metropolitan, micropolitan, and combined statistical areas, as well as metropolitan divisions, are those issued by that agency in September 2018. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. ",,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,,
"Estimates of the Components of Resident Population Change for Micropolitan Statistical Areas in the United States: April 1, 2010 to July 1, 2019 (CBSA-MIC-EST2019-COMP)",,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,,
Release Date: March 2020,,,,,,,,,,,,,,
